Pais|Release_year|Total_Audiovisual
United States of America|2021|227
India|2021|61
United Kingdom|2021|40
South Korea|2021|20
Spain|2021|19
Japan|2021|15
Canada|2021|14
France|2021|14
Mexico|2021|13
Australia|2021|11
Germany|2021|10
Italy|2021|9
China|2021|7
Brazil|2021|7
Indonesia|2021|5
Poland|2021|5
Belgium|2021|5
Turkey|2021|5
South Africa|2021|5
Colombia|2021|4
Thailand|2021|4
Nigeria|2021|4
Netherlands|2021|3
Sweden|2021|3
Czech Republic|2021|3
Argentina|2021|3
Israel|2021|3
United Arab Emirates|2021|2
Denmark|2021|2
Egypt|2021|2
Singapore|2021|2
Vietnam|2021|1
Cayman Islands|2021|1
Switzerland|2021|1
New Zealand|2021|1
Hungary|2021|1
Mauritius|2021|1
Saudi Arabia|2021|1
Philippines|2021|1
Ireland|2021|1
Qatar|2021|1
Taiwan|2021|1
Russia|2021|1
Norway|2021|1
Uruguay|2021|1
Greece|2021|1
Jordan|2021|1
Iceland|2021|1
